"Milk production and utilization c 1"
"Frequency: Monthly"
"Table: 32-10-0113-01 (formerly CANSIM 003-0011)"
"Release date: 2025-06-10"
"Geography: Canada, Province or territory"
""
""

,"Geography","Canada"
"Dairy distribution 2","Reference period"
,,"Kilolitres"
,"June 2017","506,068"
,"July 2017","540,181"
,"August 2017","526,935"
,"September 2017","505,713"
,"October 2017","520,105"
,"November 2017","499,519"
,"December 2017","524,050"
,"January 2018","555,976"
,"February 2018","509,295"
,"March 2018","565,004"
,"April 2018","550,545"
,"May 2018","571,166"
,"June 2018","552,101"
,"July 2018","559,936"
,"August 2018","538,400"
,"September 2018","518,553"
,"October 2018","517,919"
,"November 2018","495,370"
,"December 2018","531,882"
,"January 2019","548,059"
,"February 2019","496,337"
,"March 2019","562,386"
,"April 2019","536,035"
,"May 2019","552,229"
,"June 2019","548,136"
,"July 2019","554,239"
,"August 2019","553,672"
,"September 2019","532,476"
,"October 2019","533,474"
,"November 2019","516,923"
,"December 2019","542,989"
,"January 2020","556,059"
,"February 2020","534,618"
,"March 2020","552,099"
,"April 2020","513,336"
,"May 2020","545,166"
,"June 2020","538,696"
,"July 2020","561,376"
,"August 2020","575,745"
,"September 2020","542,454"
,"October 2020","553,197"
,"November 2020","538,182"
,"December 2020","559,406"
,"January 2021","589,375"
,"February 2021","520,845"
,"March 2021","571,582"
,"April 2021","565,413"
,"May 2021","589,105"
,"June 2021","576,299"
,"July 2021","606,338"
,"August 2021","591,312"
,"September 2021","552,637"
,"October 2021","567,756"
,"November 2021","531,486"
,"December 2021","539,707"
,"January 2022","567,550"
,"February 2022","513,021"
,"March 2022","565,189"
,"April 2022","567,098"
,"May 2022","602,474"
,"June 2022","575,054"
,"July 2022","603,374"
,"August 2022","589,682"
,"September 2022","561,888"
,"October 2022","585,917"
,"November 2022","554,576"
,"December 2022","575,394"
,"January 2023","587,213"
,"February 2023","530,764"
,"March 2023","574,596"
,"April 2023","588,070"
,"May 2023","594,969"
,"June 2023","587,830"
,"July 2023","616,308"
,"August 2023","587,856"
,"September 2023","560,297"
,"October 2023","568,033"
,"November 2023","534,628"
,"December 2023","559,822"
,"January 2024","573,263"
,"February 2024","548,039"
,"March 2024","598,001"
,"April 2024","572,584"
,"May 2024","596,044"
,"June 2024","588,898"
,"July 2024","589,834"
,"August 2024","600,552"
,"September 2024","577,881"
,"October 2024","577,143"
,"November 2024","561,431"
,"December 2024","575,669"
,"January 2025","586,680"
,"February 2025","540,473"
,"March 2025","605,251"


"Table Corrections:"
Date,Note
"","On September 29, 2020, estimates for category “Milk sold off farms, total" in July 2020 were corrected for Newfoundland and Labrador."



Footnotes:
1,"For explanation of changes in methodology contact Dairy/Food Unit, Agriculture Division, Statistics Canada."
2,"Data for total milk production, farm home consumed and fed to livestock not available after 1978."



"How to cite: Statistics Canada. Table 32-10-0113-01  Milk production and utilization"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210011301
